country,id,monetary,units,date,New_id,Last_Purchase_date
IN,1934520,5767.44,3,3/9/2020,IN1934520,11/2/2020
IN,1934520,3728.88,6,3/23/2020,IN1934520,11/2/2020
IN,1936140,369.6,1,3/9/2020,IN1936140,11/23/2020
IN,1936140,369.6,1,3/16/2020,IN1936140,11/23/2020
IN,1936140,292.2,1,4/6/2020,IN1936140,11/23/2020
IN,1936140,1221.36,1,3/9/2020,IN1936140,11/23/2020
IN,1938702,1215.78,1,3/23/2020,IN1938702,9/7/2020
IN,1940772,10632.9,11,3/16/2020,IN1940772,11/30/2020
IN,1940772,1211.1,1,3/9/2020,IN1940772,11/30/2020
IN,1942692,975.48,1,3/16/2020,IN1942692,10/12/2020
IN,1942692,985.68,1,3/30/2020,IN1942692,10/12/2020
IN,1948350,367.2,1,3/23/2020,IN1948350,11/30/2020
IN,1948350,367.2,1,3/30/2020,IN1948350,11/30/2020
IN,1948350,578.94,1,3/23/2020,IN1948350,11/30/2020
IN,1948350,1213.02,1,3/9/2020,IN1948350,11/30/2020
IN,1948350,3639,3,3/16/2020,IN1948350,11/30/2020
IN,1948350,3639,3,3/23/2020,IN1948350,11/30/2020
IN,1948350,2426.04,2,3/30/2020,IN1948350,11/30/2020
IN,1957560,5853.06,6,3/23/2020,IN1957560,8/17/2020
IN,1981368,582.96,1,3/9/2020,IN1981368,11/9/2020
IN,1981368,582.96,1,3/16/2020,IN1981368,11/9/2020
IN,1981368,1165.98,2,3/23/2020,IN1981368,11/9/2020
IN,1999044,1209.72,1,3/16/2020,IN1999044,11/30/2020
IN,1999044,1209.72,1,3/23/2020,IN1999044,11/30/2020
IN,1999044,3647.28,3,3/30/2020,IN1999044,11/30/2020
IN,2000256,975.48,1,3/23/2020,IN2000256,3/30/2020
IN,2000256,9770.82,8,3/23/2020,IN2000256,3/30/2020
IN,2000256,6106.74,5,3/30/2020,IN2000256,3/30/2020
IN,2003106,964.44,1,3/9/2020,IN2003106,11/23/2020
IN,2003106,964.44,1,4/6/2020,IN2003106,11/23/2020
IN,2003850,2442.84,2,3/9/2020,IN2003850,10/26/2020
IN,2004096,1211.1,1,3/9/2020,IN2004096,10/12/2020
IN,2018706,975.48,1,3/23/2020,IN2018706,11/16/2020
IN,2018706,975.48,1,3/16/2020,IN2018706,11/16/2020
IN,2021562,1221.36,1,3/23/2020,IN2021562,11/30/2020
IN,2022102,968.1,1,3/16/2020,IN2022102,11/30/2020
IN,2022102,12111.18,10,3/23/2020,IN2022102,11/30/2020
IN,2037342,978.18,1,3/30/2020,IN2037342,4/20/2020
IN,2037654,1221.36,1,3/23/2020,IN2037654,3/23/2020
IN,2038134,1748.94,3,3/16/2020,IN2038134,11/30/2020
IN,2038134,582.96,1,3/23/2020,IN2038134,11/30/2020
IN,2038134,582.96,1,3/30/2020,IN2038134,11/30/2020
IN,2038884,2941.98,3,3/30/2020,IN2038884,11/23/2020
IN,2038884,980.64,1,4/6/2020,IN2038884,11/23/2020
IN,2038884,9726.12,8,3/16/2020,IN2038884,11/23/2020
IN,2038884,6078.84,5,3/23/2020,IN2038884,11/23/2020
IN,2038884,1215.78,1,3/30/2020,IN2038884,11/23/2020
IN,2038884,1215.78,1,4/6/2020,IN2038884,11/23/2020
IN,2039208,1129.86,2,3/30/2020,IN2039208,8/10/2020
IN,2040702,369.6,1,3/9/2020,IN2040702,11/9/2020
IN,2040702,292.2,1,3/9/2020,IN2040702,11/9/2020
IN,2045142,3917.76,2,3/30/2020,IN2045142,8/31/2020
IN,2045346,1221.36,1,3/9/2020,IN2045346,10/12/2020
IN,2045346,1221.36,1,3/16/2020,IN2045346,10/12/2020
IN,2053716,1929.72,1,3/16/2020,IN2053716,11/23/2020
IN,2053716,368.04,1,4/6/2020,IN2053716,11/23/2020
IN,2054232,9480.12,6,3/16/2020,IN2054232,9/21/2020
IN,2054232,9109.38,3,3/16/2020,IN2054232,9/21/2020
IN,2054232,1221.36,1,3/9/2020,IN2054232,9/21/2020
IN,2056308,626.28,1,3/16/2020,IN2056308,3/16/2020
IN,2057310,2442.72,2,3/16/2020,IN2057310,11/30/2020
IN,2059896,2442.84,2,3/23/2020,IN2059896,11/30/2020
IN,2059956,10992.18,9,3/23/2020,IN2059956,3/23/2020
IN,2063040,3226.14,1,3/9/2020,IN2063040,11/30/2020
IN,2063040,9688.98,8,3/9/2020,IN2063040,11/30/2020
IN,2063040,7266.72,6,3/16/2020,IN2063040,11/30/2020
IN,2063040,21800.16,18,3/23/2020,IN2063040,11/30/2020
IN,2063040,1211.1,1,3/30/2020,IN2063040,11/30/2020
IN,2063040,7266.72,6,4/6/2020,IN2063040,11/30/2020
IN,2063802,1587.96,1,3/16/2020,IN2063802,11/23/2020
IN,2063802,3664.08,3,3/23/2020,IN2063802,11/23/2020
IN,2063820,582.96,1,3/16/2020,IN2063820,11/16/2020
IN,2063820,1165.98,2,3/30/2020,IN2063820,11/16/2020
IN,2074020,975.48,1,3/9/2020,IN2074020,11/23/2020
IN,2074020,1951.02,2,3/16/2020,IN2074020,11/23/2020
IN,2074020,975.48,1,3/23/2020,IN2074020,11/23/2020
IN,2074020,1221.36,1,3/9/2020,IN2074020,11/23/2020
IN,2074020,3664.08,3,3/16/2020,IN2074020,11/23/2020
IN,2076348,2941.86,3,3/30/2020,IN2076348,11/30/2020
IN,2077032,975.48,1,3/16/2020,IN2077032,3/16/2020
IN,2080488,14556.06,12,3/23/2020,IN2080488,11/30/2020
IN,2083686,582.96,1,3/23/2020,IN2083686,11/23/2020
IN,2084478,975.48,1,3/16/2020,IN2084478,10/12/2020
IN,2084478,1951.02,2,3/23/2020,IN2084478,10/12/2020
